Filer ID,Name,Office,Subdivision,Municipality,District,County
C26640,11TH WARD DEMOCRATIC COMMITTEE,N/A,County,Albany,N/A,Albany County
C34110,21 ST CENTURY DEMOCRATS POLITICAL ACTION COMMITTEE,N/A,County,Albany,N/A,Albany County
C01217,21ST CENTURY ALBANY PAC,N/A,County,Albany,N/A,Albany County
C01147,4TH WARD DEMOCRATIC COMMITTEE,Common Council,City,Albany,4,Albany County
C00676,8TH WARD DEMOCRATIC COMMITTEE,N/A,City,Albany,N/A,Albany County
C11239,ADAM CHRISTOPHER BIGGS,Common Council,City,Cohoes,5,Albany County
C05812,ADAM DANIEL GREENBERG,Town Board,Town,New Scotland,N/A,Albany County
C03983,ALANA SPARROW MATULIS,Common Council,City,Albany,2,Albany County
C36899,ALBANY CITY DEMOCRATIC COMMITTEE,N/A,City,Albany,N/A,Albany County
C32551,ALBANY CITY MAJORITY PARTY COMMITTEE,N/A,City,Albany,N/A,Albany County
C22374,ALBANY COUNTY CONSERVATIVE COMMITTEE,N/A,County,Albany,N/A,Albany County
C20605,ALBANY COUNTY DEMOCRATIC COMMITTEE,N/A,County,Albany,N/A,Albany County
C39030,ALBANY COUNTY DEMOCRATS UNITED,N/A,County,Albany,N/A,Albany County
C21410,ALBANY COUNTY INDEPENDENCE PARTY,N/A,County,Albany,N/A,Albany County
C10836,ALBANY COUNTY LEADERSHIP PAC,N/A,County,Albany,N/A,Albany County
C21105,ALBANY COUNTY REPUBLICAN COMMITTEE,N/A,County,Albany,N/A,Albany County
C21107,ALBANY COUNTY REPUBLICAN COMMITTEE HOUSEKEEPING,N/A,County,Albany,N/A,Albany County
C02818,ALBANY COUNTY REPUBLICAN COMMITTEE HOUSEKEEPING,N/A,County,Albany,N/A,Albany County
C05508,ALBANY COUNTY REPUBLICAN WOMEN'S CLUB (ACRWC),N/A,County,Albany,N/A,Albany County
A25142,ALBANY FIREFIGHTERS UNION PAC,N/A,N/A,N/A,N/A,Albany County
